DEBUG 	2017-07-13 15:20:00 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:20:00 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:00 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:00 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:20:00 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:20:00 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:20:00 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:20:00 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:00 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:00 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:20:00 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:20:00 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:20:00 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:20:00 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:00 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:00 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:20:00 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:20:00 - Début de DBSetter::creerElements (caller : addMouvements)
DEBUG 	2017-07-13 15:20:00 - Fin de DBSetter::creerElements (caller : addMouvements)
DEBUG 	2017-07-13 15:20:00 - Début de DBSetter::supprimerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:20:00 - Fin de DBSetter::supprimerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:20:05 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:20:05 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:20:05 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:05 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:05 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:20:05 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:20:05 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:20:05 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:20:05 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:05 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:05 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:20:05 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:20:05 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:20:05 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:20:05 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:05 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:05 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:20:05 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:20:05 - Début de DBSetter::creerElements (caller : addMouvements)
DEBUG 	2017-07-13 15:20:05 - Début de DBSetter::creerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:20:05 - Fin de DBSetter::creerElement (caller : addMouvements) Dernier id : 903467
DEBUG 	2017-07-13 15:20:05 - Fin de DBSetter::creerElements (caller : addMouvements)
DEBUG 	2017-07-13 15:20:05 - Début de DBSetter::supprimerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:20:05 - Fin de DBSetter::supprimerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:20:14 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:20:15 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:20:15 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:15 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:15 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:20:15 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:20:15 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:20:15 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:20:15 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:15 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:15 - Début de DBSetter::creerElement (caller : checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:15 - Fin de DBSetter::creerElement (caller : checkEmplacementAndInsert) Dernier id : 0
DEBUG 	2017-07-13 15:20:15 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:20:15 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:20:15 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:20:15 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:20:15 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:15 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:15 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:20:15 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:20:15 - Début de DBSetter::creerElements (caller : addMouvements)
DEBUG 	2017-07-13 15:20:15 - Début de DBSetter::creerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:20:15 - Fin de DBSetter::creerElement (caller : addMouvements) Dernier id : 903468
DEBUG 	2017-07-13 15:20:15 - Début de DBSetter::creerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:20:15 - Fin de DBSetter::creerElement (caller : addMouvements) Dernier id : 903469
DEBUG 	2017-07-13 15:20:15 - Fin de DBSetter::creerElements (caller : addMouvements)
DEBUG 	2017-07-13 15:20:15 - Début de DBSetter::supprimerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:20:15 - Fin de DBSetter::supprimerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:20:21 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:20:21 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:20:21 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:21 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:20:21 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:20:21 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
